station,weight,latitude,longitude,elevation,leaflabel
14714,USW00026616,85.0,66.8667,-162.6333,9.1,171.0
25307,USR0000AKEL,20.0,67.9333,-162.3,125.6,171.0
22430,AYW00067601,3.0,-78.2,-162.25,32.0,1.0
25207,USC00501314,30.0,58.6333,-162.15,144.8,163.0
19495,LQW00020604,1.0,5.8833,-162.0833,2.1,1.0
4611,LQC00914701,2.0,5.8833,-162.0833,3.0,1.0
25679,USW00025623,13.0,58.65,-162.0667,71.9,169.0
11037,USW00026620,23.0,64.7,-162.05,6.1,171.0
28900,USC00508114,15.0,63.4833,-162.0167,14.9,171.0
21594,USC00501230,23.0,65.9333,-161.9167,7.0,171.0
25250,USC00506762,3.0,61.6333,-161.9,13.7,169.0
28909,USC00508785,2.0,62.1667,-161.8333,-999.9,171.0
18422,USW00026615,87.0,60.785,-161.8292,31.1,169.0
3080,USC00507365,24.0,59.0167,-161.7833,6.1,169.0
28919,USC00509915,2.0,55.2167,-161.35,7.6,163.0
17981,USC00508054,22.0,61.7833,-161.3167,15.2,169.0
10521,USC00500100,8.0,60.9167,-161.2167,-2.4,169.0
3139,USR0000AHAY,20.0,65.2017,-161.155,53.9,171.0
28902,USC00508389,6.0,64.3322,-161.1511,5.5,171.0
3061,USC00505091,10.0,64.9333,-161.15,18.3,171.0
6812,USC00506503,9.0,66.8333,-161.0,20.7,171.0
6797,USC00504163,2.0,61.45,-160.8167,27.4,169.0
3037,USC00502041,17.0,55.4,-160.8167,121.9,163.0
14715,USW00026627,57.0,63.8833,-160.8,5.5,171.0
14228,USC00505885,2.0,55.75,-160.6667,-999.9,163.0
28901,USC00508183,18.0,55.3167,-160.5167,6.7,163.0
25254,USC00507716,1.0,55.9333,-160.5,5.5,163.0
11029,USW00025630,3.0,55.3472,-160.4661,73.2,163.0
21696,USR0000AKIA,19.0,66.9767,-160.4375,45.7,171.0
6793,USC00503591,1.0,55.85,-160.25,4.6,163.0
10633,USR0000AKIL,21.0,60.32,-160.2,582.2,169.0
21613,USC00503438,3.0,62.9167,-160.0833,27.1,171.0
14248,USC00508341,2.0,66.6,-160.0333,6.1,171.0
29359,USW00027503,40.0,70.6392,-159.995,9.1,171.0
3077,USC00506760,16.0,61.0,-159.9833,136.9,169.0
18376,USW00022501,35.0,22.0333,-159.7833,4.0,3.0
3050,USC00503655,70.0,62.1833,-159.7667,6.1,171.0
25289,USC00516082,72.0,22.03,-159.7628,6.1,3.0
21665,USC00514735,0.0,22.0758,-159.7589,11.0,3.0
6860,USC00514272,22.0,22.0025,-159.7547,3.0,3.0
21668,USC00516850,39.0,22.0331,-159.7406,381.0,3.0
14297,USC00519253,29.0,21.9944,-159.7314,3.0,3.0
14385,USR0000HMAH,9.0,22.1306,-159.7153,545.0,3.0
25299,USC00519629,30.0,21.9592,-159.6758,6.1,3.0
21660,USC00513099,57.0,22.1297,-159.6586,1097.3,3.0
6871,USC00515864,71.0,21.9189,-159.6278,42.7,3.0
18018,USC00516433,0.0,22.1142,-159.6017,1066.8,3.0
7217,USW00022526,1.0,21.9,-159.6,9.1,3.0
21653,USC00510470,15.0,21.9058,-159.5789,45.7,3.0
25257,USC00508379,1.0,62.7,-159.5667,21.3,171.0
18029,USC00518941,2.0,21.8967,-159.5569,65.5,3.0
6878,USC00518155,7.0,22.1961,-159.5561,30.8,3.0
17993,USC00510240,2.0,21.9222,-159.5375,219.5,3.0
18420,USW00026516,37.0,61.5833,-159.5333,26.2,169.0
10621,USC00519955,2.0,21.8939,-159.5128,64.0,3.0
21652,USC00510456,8.0,21.9011,-159.4969,93.9,3.0
10605,USC00514950,0.0,21.8911,-159.495,30.5,3.0
10614,USC00518165,14.0,22.2181,-159.4828,66.1,3.0
6864,USC00514742,50.0,21.9086,-159.4614,73.2,3.0
25297,USC00518958,32.0,22.0167,-159.45,172.2,3.0
14279,USC00514748,4.0,21.8667,-159.45,15.8,3.0
14284,USC00515785,17.0,21.8667,-159.45,15.8,3.0
6868,USC00515710,29.0,21.9,-159.4211,24.4,3.0
